name,foot,team2023-12-02,image,positionMisterFantasy,shortNamePosition,groupPosition,age,shirtNumber,marketValueReal,marketValueMisterFantasy_2023-12-02,nationality,fluctuationValue_2023-12-02,average_2023-12-02,scorePlayer_2023-12-02,points_antepenultimate_match_2023-12-02,game_played_2023-12-02,minutes_played_2023-12-02,goals_2023-12-02,assists_2023-12-02,assists_without_goal_2023-12-02,balls_into_area_2023-12-02,clearances_2023-12-02,dribbles_2023-12-02,kicks_to_goal_2023-12-02,recovered_balls_2023-12-02,possession_loss_2023-12-02,penaltis_failed_2023-12-02,goals_against_2023-12-02,red_cards_2023-12-02,ball_stop_2023-12-02,penalties_made_2023-12-02,yellow_cards_2023-12-02,second_yellow_card_match_2023-12-02,penalties_caused_2023-12-02,penalties_stopped_2023-12-02,own_goals_2023-12-02,team2024-05-28,marketValueMisterFantasy_2024-05-28,fluctuationValue_2024-05-28,average_2024-05-28,scorePlayer_2024-05-28,points_antepenultimate_match_2024-05-28,game_played_2024-05-28,minutes_played_2024-05-28,goals_2024-05-28,assists_2024-05-28,assists_without_goal_2024-05-28,balls_into_area_2024-05-28,clearances_2024-05-28,dribbles_2024-05-28,kicks_to_goal_2024-05-28,recovered_balls_2024-05-28,possession_loss_2024-05-28,penaltis_failed_2024-05-28,goals_against_2024-05-28,red_cards_2024-05-28,ball_stop_2024-05-28,penalties_made_2024-05-28,yellow_cards_2024-05-28,second_yellow_card_match_2024-05-28,penalties_caused_2024-05-28,penalties_stopped_2024-05-28,own_goals_2024-05-28
I. Williams,derecho,Athletic,https://img.a.transfermarkt.technology/portrait/medium/255508-1671999121.png?lm=1,-1.0,ED,Delantero,29.0,9.0,25000000.0,16.567.000,Ghana,UP,"7,3",102.0,12,15.0,1233.0,6.0,3.0,6.0,12.0,13.0,21.0,22.0,70.0,235.0,0.0,16.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrygo,derecho,Real Madrid,https://img.a.transfermarkt.technology/portrait/medium/412363-1693988167.jpg?lm=1,-1.0,ED,Delantero,22.0,11.0,100000000.0,16.297.000,Brasil,UP,"5,8",81.0,3,14.0,969.0,5.0,4.0,2.0,7.0,1.0,28.0,16.0,36.0,129.0,1.0,9.0,0.0,0.0,0.0,0.0,-,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedri,derecho,FC Barcelona,https://img.a.transfermarkt.technology/portrait/medium/683840-1620304992.jpg?lm=1,-1.0,MC,Centrocampista,21.0,8.0,100000000.0,16.006.000,España,UP,"5,4",27.0,4,5.0,358.0,1.0,0.0,4.0,2.0,1.0,7.0,3.0,18.0,58.0,0.0,2.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Mendez,izquierdo,Real Sociedad,https://img.a.transfermarkt.technology/portrait/medium/309110-1665057568.jpg?lm=1,-1.0,MCO,Centrocampista,26.0,23.0,30000000.0,15.879.000,España,DOWN,"6,5",85.0,5,13.0,1085.0,2.0,3.0,4.0,11.0,6.0,12.0,9.0,65.0,169.0,0.0,16.0,0.0,0.0,0.0,5.0,-,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Morata,derecho,Atlético Madrid,https://img.a.transfermarkt.technology/portrait/medium/128223-1694193236.jpg?lm=1,-1.0,DEL,Delantero,31.0,19.0,20000000.0,15.877.000,España,DOWN,"6,3",76.0,9,12.0,903.0,7.0,1.0,1.0,1.0,13.0,6.0,15.0,24.0,81.0,0.0,8.0,0.0,0.0,0.0,1.0,-,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Gundogan,derecho,FC Barcelona,https://img.a.transfermarkt.technology/portrait/medium/53622-1689683568.jpg?lm=1,-1.0,MC,Centrocampista,33.0,22.0,20000000.0,15.849.000,Alemania,UP,"4,8",67.0,5,13.0,1047.0,1.0,3.0,5.0,18.0,5.0,11.0,4.0,77.0,153.0,0.0,13.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Kroos,derecho,Real Madrid,https://img.a.transfermarkt.technology/portrait/medium/31909-1700638741.jpg?lm=1,-1.0,MC,Centrocampista,33.0,8.0,15000000.0,15.620.000,Alemania,UP,"5,4",76.0,4,14.0,801.0,1.0,4.0,4.0,23.0,4.0,1.0,10.0,55.0,87.0,0.0,8.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savio,izquierdo,Girona FC,https://img.a.transfermarkt.technology/portrait/medium/743591-1660762858.jpg?lm=1,-1.0,EI,Delantero,19.0,16.0,20000000.0,15.587.000,Brasil,UP,"6,5",97.0,10,14.0,1137.0,4.0,4.0,5.0,10.0,2.0,32.0,9.0,81.0,197.0,0.0,15.0,0.0,0.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. D. Jong,derecho,FC Barcelona,https://img.a.transfermarkt.technology/portrait/medium/326330-1656499973.png?lm=1,-1.0,MC,Centrocampista,26.0,21.0,90000000.0,15.567.000,Países Bajos,UP,"7,1",50.0,-,7.0,576.0,1.0,0.0,1.0,2.0,7.0,8.0,2.0,51.0,65.0,0.0,6.0,0.0,0.0,0.0,3.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Araujo,derecho,FC Barcelona,https://img.a.transfermarkt.technology/portrait/medium/480267-1701118351.jpg?lm=1,-1.0,CEN,Defensa,24.0,4.0,70000000.0,15.258.000,Uruguay,UP,"7,3",58.0,14,10.0,500.0,1.0,0.0,1.0,5.0,19.0,2.0,1.0,27.0,75.0,0.0,5.0,0.0,0.0,0.0,3.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepelu,derecho,Valencia CF,https://img.a.transfermarkt.technology/portrait/medium/328480-1447314700.jpg?lm=1,-1.0,PIV,Centrocampista,25.0,18.0,8000000.0,15.256.000,España,UP,"6,4",96.0,5,14.0,1235.0,2.0,0.0,1.0,17.0,26.0,7.0,5.0,106.0,185.0,0.0,17.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Oyarzabal,izquierdo,Real Sociedad,https://img.a.transfermarkt.technology/portrait/medium/351478-1599987229.jpg?lm=1,-1.0,EI,Delantero,26.0,10.0,40000000.0,15.210.000,España,UP,"6,4",90.0,5,14.0,883.0,7.0,1.0,1.0,1.0,5.0,2.0,14.0,30.0,83.0,0.0,9.0,0.0,0.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Carvajal,derecho,Real Madrid,https://img.a.transfermarkt.technology/portrait/medium/138927-1684232714.jpeg?lm=1,-1.0,LD,Defensa,31.0,2.0,12000000.0,15.129.000,España,UP,"7,2",86.0,5,13.0,1045.0,2.0,2.0,2.0,3.0,13.0,6.0,7.0,72.0,139.0,0.0,5.0,0.0,0.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
N. Williams,derecho,Athletic,https://img.a.transfermarkt.technology/portrait/medium/709187-1686661249.jpg?lm=1,-1.0,EI,Delantero,21.0,11.0,40000000.0,15.126.000,España,UP,"5,7",63.0,11,12.0,810.0,1.0,5.0,6.0,20.0,2.0,32.0,5.0,54.0,173.0,0.0,12.0,0.0,0.0,0.0,1.0,-,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Cancelo,derecho,FC Barcelona,https://img.a.transfermarkt.technology/portrait/medium/182712-1675080937.jpg?lm=1,-1.0,LD,Defensa,29.0,2.0,50000000.0,15.061.000,Portugal,UP,"5,6",62.0,1,10.0,866.0,2.0,1.0,3.0,5.0,10.0,26.0,4.0,76.0,170.0,0.0,9.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Felix,derecho,FC Barcelona,https://img.a.transfermarkt.technology/portrait/medium/462250-1668165358.jpg?lm=1,-1.0,EI,Delantero,24.0,14.0,50000000.0,14.896.000,Portugal,UP,"4,9",54.0,2,13.0,730.0,1.0,2.0,3.0,1.0,3.0,17.0,13.0,41.0,123.0,0.0,8.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joselu,derecho,Real Madrid,https://img.a.transfermarkt.technology/portrait/medium/81999-1686816784.jpg?lm=1,-1.0,DEL,Delantero,33.0,14.0,6000000.0,14.823.000,España,UP,"4,3",60.0,4,14.0,748.0,5.0,2.0,2.0,1.0,4.0,4.0,16.0,22.0,71.0,1.0,4.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. Muriqi,izquierdo,RCD Mallorca,https://img.a.transfermarkt.technology/portrait/medium/256267-1627914833.jpg?lm=1,-1.0,DEL,Delantero,29.0,7.0,15000000.0,14.157.000,Kosovo,DOWN,"6,8",81.0,4,13.0,1059.0,4.0,2.0,4.0,1.0,14.0,3.0,16.0,33.0,166.0,2.0,18.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Zubimendi,derecho,Real Sociedad,https://img.a.transfermarkt.technology/portrait/medium/423440-1684149419.jpg?lm=1,-1.0,PIV,Centrocampista,24.0,4.0,40000000.0,14.117.000,España,UP,"5,8",81.0,6,14.0,1157.0,2.0,1.0,1.0,0.0,24.0,3.0,4.0,97.0,116.0,0.0,15.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Budimir,izquierdo,CA Osasuna,https://img.a.transfermarkt.technology/portrait/medium/46413-1665055952.jpg?lm=1,-1.0,DEL,Delantero,32.0,17.0,5000000.0,13.848.000,Croacia,UP,"6,9",96.0,16,14.0,971.0,7.0,1.0,2.0,1.0,3.0,4.0,16.0,26.0,113.0,0.0,20.0,0.0,0.0,0.0,3.0,-,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Rakitic,derecho,Sevilla FC,https://img.a.transfermarkt.technology/portrait/medium/32467-1688726103.jpg?lm=1,-1.0,MC,Centrocampista,35.0,10.0,4000000.0,13.758.000,Croacia,UP,"5,1",61.0,5,13.0,998.0,2.0,1.0,3.0,36.0,8.0,8.0,6.0,89.0,214.0,0.0,14.0,0.0,0.0,0.0,3.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
