name,foot,team2023-12-02,image,positionMisterFantasy,shortNamePosition,groupPosition,age,shirtNumber,marketValueReal,marketValueMisterFantasy_2023-12-02,nationality,fluctuationValue_2023-12-02,average_2023-12-02,scorePlayer_2023-12-02,points_antepenultimate_match_2023-12-02,game_played_2023-12-02,minutes_played_2023-12-02,goals_2023-12-02,assists_2023-12-02,assists_without_goal_2023-12-02,balls_into_area_2023-12-02,clearances_2023-12-02,dribbles_2023-12-02,kicks_to_goal_2023-12-02,recovered_balls_2023-12-02,possession_loss_2023-12-02,penaltis_failed_2023-12-02,goals_against_2023-12-02,red_cards_2023-12-02,ball_stop_2023-12-02,penalties_made_2023-12-02,yellow_cards_2023-12-02,second_yellow_card_match_2023-12-02,penalties_caused_2023-12-02,penalties_stopped_2023-12-02,own_goals_2023-12-02,team2024-05-28,marketValueMisterFantasy_2024-05-28,fluctuationValue_2024-05-28,average_2024-05-28,scorePlayer_2024-05-28,points_antepenultimate_match_2024-05-28,game_played_2024-05-28,minutes_played_2024-05-28,goals_2024-05-28,assists_2024-05-28,assists_without_goal_2024-05-28,balls_into_area_2024-05-28,clearances_2024-05-28,dribbles_2024-05-28,kicks_to_goal_2024-05-28,recovered_balls_2024-05-28,possession_loss_2024-05-28,penaltis_failed_2024-05-28,goals_against_2024-05-28,red_cards_2024-05-28,ball_stop_2024-05-28,penalties_made_2024-05-28,yellow_cards_2024-05-28,second_yellow_card_match_2024-05-28,penalties_caused_2024-05-28,penalties_stopped_2024-05-28,own_goals_2024-05-28
A. Pedrosa,izquierdo,Sevilla FC,https://img.a.transfermarkt.technology/portrait/medium/501418-1583506190.jpg?lm=1,-1.0,LI,Defensa,25.0,3.0,5000000.0,4.183.000,España,UP,"3,6",40.0,4,13.0,682.0,0.0,2.0,2.0,7.0,16.0,3.0,0.0,50.0,138.0,0.0,9.0,0.0,0.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y. Berchiche,izquierdo,Athletic,https://img.a.transfermarkt.technology/portrait/medium/61812-1671997846.png?lm=1,-1.0,LI,Defensa,33.0,17.0,2000000.0,4.169.000,España,UP,"4,8",38.0,-,9.0,582.0,1.0,1.0,1.0,4.0,12.0,2.0,2.0,38.0,87.0,0.0,5.0,0.0,0.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Riad,izquierdo,Real Betis,https://img.a.transfermarkt.technology/portrait/medium/689637-1650359266.jpg?lm=1,-1.0,CEN,Defensa,20.0,28.0,1000000.0,4.127.000,Marruecos,UP,"3,9",35.0,3,10.0,744.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0,48.0,43.0,0.0,10.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
G. Villar,derecho,Granada CF,https://img.a.transfermarkt.technology/portrait/medium/398163-1611584180.jpg?lm=1,-1.0,MC,Centrocampista,25.0,24.0,2800000.0,4.090.000,España,DOWN,"4,1",53.0,4,13.0,653.0,1.0,3.0,2.0,2.0,12.0,11.0,3.0,69.0,92.0,0.0,16.0,0.0,0.0,0.0,4.0,-,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. Torro,derecho,CA Osasuna,https://img.a.transfermarkt.technology/portrait/medium/213670-1533115480.jpg?lm=1,-1.0,PIV,Centrocampista,29.0,6.0,8000000.0,4.054.000,España,DOWN,"3,8",42.0,2,14.0,845.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,81.0,106.0,0.0,14.0,0.0,0.0,0.0,3.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
N. Gudelj,derecho,Sevilla FC,https://img.a.transfermarkt.technology/portrait/medium/74294-1668174436.jpg?lm=1,-1.0,CEN,Defensa,32.0,6.0,4000000.0,4.041.000,Serbia,DOWN,"4,0",40.0,4,12.0,887.0,1.0,0.0,1.0,0.0,35.0,2.0,3.0,54.0,91.0,0.0,15.0,0.0,0.0,0.0,5.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Rodriguez,derecho,RCD Mallorca,https://img.a.transfermarkt.technology/portrait/medium/139435-1583332711.jpg?lm=1,-1.0,MCO,Centrocampista,35.0,14.0,1200000.0,4.008.000,España,DOWN,"3,6",50.0,1,15.0,1100.0,1.0,1.0,1.0,17.0,8.0,12.0,5.0,58.0,155.0,0.0,19.0,0.0,0.0,0.0,5.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Suarez,derecho,Getafe CF,https://img.a.transfermarkt.technology/portrait/medium/76746-1447230012.jpg?lm=1,-1.0,LD,Defensa,35.0,22.0,1000000.0,169.000,Uruguay,UP,"2,3",9.0,-,5.0,130.0,0.0,0.0,1.0,2.0,4.0,5.0,0.0,10.0,25.0,0.0,5.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
H. Bellerin,derecho,Real Betis,https://img.a.transfermarkt.technology/portrait/medium/191217-1676903202.jpg?lm=1,-1.0,LD,Defensa,28.0,2.0,8000000.0,3.990.000,España,DOWN,"3,2",32.0,4,12.0,897.0,0.0,0.0,2.0,2.0,16.0,10.0,0.0,60.0,158.0,0.0,10.0,0.0,0.0,0.0,0.0,-,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Valjent,derecho,RCD Mallorca,https://img.a.transfermarkt.technology/portrait/medium/277384-1568027892.jpg?lm=1,-1.0,CEN,Defensa,27.0,24.0,4500000.0,3.891.000,Eslovaquia,UP,"3,4",47.0,1,15.0,1215.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,80.0,109.0,0.0,19.0,0.0,0.0,0.0,3.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Correa,derecho,Atlético Madrid,https://img.a.transfermarkt.technology/portrait/medium/266807-1701212448.jpg?lm=1,-1.0,ED,Delantero,28.0,10.0,30000000.0,3.866.000,Argentina,DOWN,"4,9",49.0,1,10.0,339.0,3.0,1.0,2.0,3.0,0.0,9.0,5.0,14.0,75.0,0.0,5.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Mojica,izquierdo,CA Osasuna,https://img.a.transfermarkt.technology/portrait/medium/262939-1541161893.jpg?lm=1,-1.0,LI,Defensa,31.0,22.0,3000000.0,3.856.000,Colombia,UP,"3,7",37.0,4,13.0,669.0,0.0,1.0,4.0,13.0,4.0,5.0,2.0,81.0,148.0,0.0,13.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Maffeo,derecho,RCD Mallorca,https://img.a.transfermarkt.technology/portrait/medium/251876-1699449290.jpg?lm=1,-1.0,LD,Defensa,26.0,15.0,8000000.0,3.839.000,Argentina,DOWN,"2,3",23.0,2,12.0,673.0,0.0,1.0,1.0,8.0,9.0,6.0,1.0,43.0,124.0,0.0,12.0,1.0,0.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
O. Romeu,derecho,FC Barcelona,https://img.a.transfermarkt.technology/portrait/medium/66100-1701118491.jpg?lm=1,-1.0,PIV,Centrocampista,32.0,18.0,5000000.0,3.768.000,España,DOWN,"2,6",34.0,-,14.0,635.0,0.0,1.0,2.0,1.0,12.0,3.0,2.0,43.0,73.0,0.0,9.0,0.0,0.0,0.0,3.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Ezzalzouli,derecho,Real Betis,https://img.a.transfermarkt.technology/portrait/medium/724520-1636969902.jpg?lm=1,-1.0,EI,Delantero,21.0,7.0,15000000.0,3.755.000,Marruecos,DOWN,"3,5",42.0,4,13.0,368.0,1.0,0.0,0.0,1.0,0.0,11.0,2.0,14.0,85.0,0.0,5.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Prats,izquierdo,RCD Mallorca,https://img.a.transfermarkt.technology/portrait/medium/177452-1696950061.jpg?lm=1,-1.0,DEL,Delantero,30.0,9.0,2000000.0,3.663.000,España,UP,"5,4",59.0,1,15.0,504.0,5.0,1.0,1.0,1.0,3.0,4.0,7.0,11.0,72.0,0.0,6.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Herrera,derecho,CA Osasuna,https://img.a.transfermarkt.technology/portrait/medium/248738-1653038712.jpg?lm=1,-1.0,POR,Portero,30.0,1.0,6000000.0,3.645.000,España,DOWN,"3,7",41.0,1,14.0,980.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,99.0,151.0,0.0,18.0,0.0,20.0,0.0,2.0,-,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. Maximiano,ambidiestro,UD Almería,https://img.a.transfermarkt.technology/portrait/medium/367464-1653038665.jpg?lm=1,-1.0,POR,Portero,24.0,25.0,6000000.0,3.611.000,Portugal,DOWN,"3,4",37.0,3,13.0,990.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,78.0,133.0,0.0,28.0,0.0,36.0,0.0,1.0,-,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. Garcia,izquierdo,Real Madrid,https://img.a.transfermarkt.technology/portrait/medium/341264-1688119965.jpg?lm=1,-1.0,LI,Defensa,24.0,20.0,15000000.0,3.542.000,España,DOWN,"2,9",29.0,3,14.0,544.0,0.0,3.0,3.0,3.0,11.0,4.0,0.0,63.0,77.0,0.0,7.0,0.0,0.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
U. Sadiq,derecho,Real Sociedad,https://img.a.transfermarkt.technology/portrait/medium/337715-1662411813.jpg?lm=1,-1.0,DEL,Delantero,26.0,19.0,16000000.0,3.537.000,Nigeria,UP,"2,6",31.0,-,14.0,363.0,1.0,1.0,2.0,0.0,1.0,12.0,6.0,11.0,48.0,0.0,7.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Hagi,ambidiestro,Alavés,https://img.a.transfermarkt.technology/portrait/medium/282076-1693211313.jpg?lm=1,-1.0,MCO,Centrocampista,25.0,10.0,4000000.0,3.523.000,Rumania,DOWN,"3,7",37.0,3,10.0,412.0,0.0,1.0,1.0,10.0,3.0,4.0,5.0,16.0,68.0,1.0,6.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Alcaraz,derecho,Cádiz CF,https://img.a.transfermarkt.technology/portrait/medium/247250-1541148505.jpg?lm=1,-1.0,MC,Centrocampista,32.0,4.0,2000000.0,3.421.000,España,UP,"4,8",63.0,3,13.0,1083.0,1.0,0.0,0.0,1.0,20.0,4.0,2.0,88.0,114.0,0.0,14.0,0.0,0.0,0.0,6.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Sow,derecho,Sevilla FC,https://img.a.transfermarkt.technology/portrait/medium/212723-1663065652.jpg?lm=1,-1.0,MC,Centrocampista,26.0,18.0,22000000.0,3.419.000,Suiza,DOWN,"3,9",39.0,2,12.0,630.0,1.0,1.0,1.0,0.0,3.0,2.0,4.0,44.0,55.0,0.0,8.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. Ciss,derecho,Rayo Vallecano,https://img.a.transfermarkt.technology/portrait/medium/525578-1541089527.jpg?lm=1,-1.0,MC,Centrocampista,29.0,21.0,3000000.0,3.151.000,Senegal,DOWN,"3,9",51.0,2,14.0,705.0,1.0,0.0,0.0,1.0,25.0,9.0,7.0,65.0,79.0,0.0,12.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Larin,derecho,RCD Mallorca,https://img.a.transfermarkt.technology/portrait/medium/343463-1673727677.jpg?lm=1,-1.0,DEL,Delantero,28.0,17.0,5000000.0,2.981.000,Canadá,UP,"2,9",38.0,1,15.0,527.0,0.0,0.0,0.0,0.0,3.0,3.0,9.0,13.0,56.0,0.0,7.0,0.0,0.0,1.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
O. Alderete,izquierdo,Getafe CF,https://img.a.transfermarkt.technology/portrait/medium/353032-1669365021.jpg?lm=1,-1.0,CEN,Defensa,26.0,15.0,3000000.0,2.975.000,Paraguay,UP,"3,3",33.0,3,14.0,616.0,0.0,1.0,0.0,0.0,42.0,3.0,0.0,40.0,88.0,0.0,7.0,1.0,0.0,0.0,3.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Perrone,izquierdo,UD Las Palmas,https://img.a.transfermarkt.technology/portrait/medium/668547-1681246573.jpg?lm=1,-1.0,PIV,Centrocampista,20.0,8.0,10000000.0,2.958.000,Argentina,DOWN,"3,3",39.0,3,11.0,414.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,50.0,60.0,0.0,3.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Stuani,derecho,Girona FC,https://img.a.transfermarkt.technology/portrait/medium/59323-1471947246.jpg?lm=1,-1.0,DEL,Delantero,37.0,7.0,2000000.0,2.875.000,Uruguay,UP,"4,6",69.0,2,14.0,509.0,3.0,1.0,1.0,0.0,8.0,1.0,8.0,9.0,39.0,0.0,7.0,0.0,0.0,0.0,4.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Balliu,derecho,Rayo Vallecano,https://img.a.transfermarkt.technology/portrait/medium/85295-1688119678.jpg?lm=1,-1.0,LD,Defensa,31.0,20.0,4000000.0,2.818.000,Albania,UP,"3,8",45.0,-,13.0,1061.0,0.0,0.0,0.0,6.0,21.0,4.0,2.0,75.0,163.0,0.0,16.0,0.0,0.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Sanchez,izquierdo,RC Celta,https://img.a.transfermarkt.technology/portrait/medium/618809-1673281847.jpg?lm=1,-1.0,LI,Defensa,23.0,23.0,8000000.0,2.751.000,España,UP,"3,6",40.0,6,14.0,772.0,0.0,1.0,2.0,5.0,19.0,4.0,0.0,59.0,118.0,0.0,15.0,0.0,0.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
V. Guaita,derecho,RC Celta,https://img.a.transfermarkt.technology/portrait/medium/64399-1447229636.jpg?lm=1,-1.0,POR,Portero,36.0,25.0,1000000.0,2.677.000,España,UP,"4,0",20.0,5,10.0,422.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,48.0,50.0,0.0,9.0,0.0,16.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Savic,derecho,Atlético Madrid,https://img.a.transfermarkt.technology/portrait/medium/107010-1664973607.jpg?lm=1,-1.0,CEN,Defensa,32.0,15.0,6000000.0,2.591.000,Montenegro,DOWN,"3,9",31.0,2,10.0,596.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,48.0,66.0,0.0,7.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Blanco,derecho,Alavés,https://img.a.transfermarkt.technology/portrait/medium/495621-1561988294.png?lm=1,-1.0,PIV,Centrocampista,23.0,8.0,5000000.0,2.469.000,España,UP,"3,0",36.0,7,12.0,769.0,0.0,0.0,0.0,2.0,8.0,6.0,1.0,72.0,87.0,0.0,11.0,1.0,0.0,0.0,0.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Garcia,derecho,Alavés,https://img.a.transfermarkt.technology/portrait/medium/93936-1490620015.jpg?lm=1,-1.0,DEL,Delantero,34.0,15.0,1800000.0,2.461.000,España,DOWN,"4,1",57.0,4,14.0,688.0,2.0,0.0,1.0,1.0,8.0,8.0,12.0,24.0,98.0,1.0,8.0,0.0,0.0,0.0,1.0,-,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Acuna,izquierdo,Sevilla FC,https://img.a.transfermarkt.technology/portrait/medium/60410-1668181014.jpg?lm=1,-1.0,LI,Defensa,32.0,19.0,8000000.0,2.282.000,Argentina,DOWN,"2,4",17.0,2,9.0,411.0,0.0,0.0,0.0,8.0,6.0,3.0,1.0,39.0,79.0,0.0,11.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Azpilicueta,derecho,Atlético Madrid,https://img.a.transfermarkt.technology/portrait/medium/57500-1668169250.jpg?lm=1,-1.0,LD,Defensa,34.0,3.0,5000000.0,2.277.000,España,DOWN,"3,6",36.0,-,13.0,665.0,0.0,1.0,5.0,0.0,15.0,0.0,2.0,54.0,89.0,0.0,8.0,0.0,0.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Mumin,derecho,Rayo Vallecano,https://img.a.transfermarkt.technology/portrait/medium/451801-1631003939.jpg?lm=1,-1.0,CEN,Defensa,25.0,16.0,1500000.0,2.271.000,Ghana,UP,"4,0",24.0,5,12.0,435.0,1.0,0.0,0.0,0.0,33.0,0.0,1.0,12.0,33.0,0.0,4.0,1.0,0.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Lopez,izquierdo,Alavés,https://img.a.transfermarkt.technology/portrait/medium/568158-1647530894.jpg?lm=1,-1.0,LI,Defensa,21.0,27.0,1000000.0,2.248.000,España,UP,"4,3",43.0,5,13.0,598.0,0.0,3.0,2.0,8.0,13.0,11.0,0.0,36.0,120.0,0.0,8.0,0.0,0.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Gorosabel,derecho,Alavés,https://img.a.transfermarkt.technology/portrait/medium/289255-1604301901.jpg?lm=1,-1.0,LD,Defensa,27.0,2.0,4000000.0,2.241.000,España,DOWN,"3,3",46.0,3,14.0,1192.0,0.0,0.0,2.0,10.0,16.0,5.0,3.0,82.0,142.0,0.0,18.0,0.0,0.0,0.0,3.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Latasa,izquierdo,Getafe CF,https://img.a.transfermarkt.technology/portrait/medium/623521-1696862713.jpg?lm=1,-1.0,DEL,Delantero,22.0,14.0,3000000.0,2.225.000,España,UP,"3,5",53.0,1,15.0,739.0,2.0,0.0,1.0,0.0,14.0,4.0,7.0,12.0,134.0,0.0,11.0,0.0,0.0,0.0,3.0,-,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Duarte,izquierdo,Alavés,https://img.a.transfermarkt.technology/portrait/medium/177046-1647530148.jpg?lm=1,-1.0,LI,Defensa,28.0,3.0,2500000.0,2.191.000,España,DOWN,"4,1",49.0,-,14.0,817.0,1.0,0.0,3.0,17.0,18.0,3.0,3.0,61.0,151.0,0.0,13.0,0.0,0.0,0.0,4.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y. Pino,derecho,Villarreal CF,https://img.a.transfermarkt.technology/portrait/medium/568157-1686664370.jpg?lm=1,-1.0,ED,Delantero,21.0,21.0,35000000.0,2.181.000,España,DOWN,"3,7",26.0,-,8.0,479.0,0.0,0.0,0.0,3.0,4.0,9.0,4.0,34.0,65.0,0.0,7.0,0.0,0.0,0.0,4.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Paredes,derecho,Athletic,https://img.a.transfermarkt.technology/portrait/medium/591916-1670009460.png?lm=1,-1.0,CEN,Defensa,23.0,4.0,8000000.0,2.165.000,España,UP,"3,1",43.0,5,15.0,1066.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,81.0,87.0,0.0,12.0,0.0,0.0,0.0,4.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Nyland,derecho,Sevilla FC,https://img.a.transfermarkt.technology/portrait/medium/73517-1532082757.jpg?lm=1,-1.0,POR,Portero,33.0,13.0,1000000.0,2.135.000,Noruega,DOWN,"4,3",30.0,4,8.0,630.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,52.0,67.0,0.0,8.0,0.0,17.0,0.0,0.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Munoz,derecho,UD Las Palmas,https://img.a.transfermarkt.technology/portrait/medium/282421-1698852390.jpg?lm=1,-1.0,MC,Centrocampista,28.0,5.0,1000000.0,2.089.000,España,UP,"2,9",44.0,4,15.0,989.0,0.0,1.0,0.0,5.0,8.0,4.0,2.0,51.0,129.0,0.0,10.0,0.0,0.0,1.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Soumare,derecho,Sevilla FC,https://img.a.transfermarkt.technology/portrait/medium/344605-1591172562.jpg?lm=1,-1.0,PIV,Centrocampista,24.0,24.0,15000000.0,2.081.000,Francia,DOWN,"2,9",20.0,3,10.0,435.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,38.0,35.0,0.0,8.0,0.0,0.0,0.0,3.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. Henrique,izquierdo,Real Betis,https://img.a.transfermarkt.technology/portrait/medium/800175-1673262492.jpg?lm=1,-1.0,ED,Delantero,22.0,11.0,15000000.0,2.072.000,Brasil,UP,"3,4",27.0,3,8.0,292.0,0.0,2.0,3.0,3.0,2.0,11.0,1.0,18.0,54.0,0.0,5.0,0.0,0.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Dmitrovic,izquierdo,Sevilla FC,https://img.a.transfermarkt.technology/portrait/medium/94308-1669364494.jpg?lm=1,-1.0,POR,Portero,31.0,1.0,2000000.0,2.044.000,Serbia,UP,"3,0",15.0,-,12.0,450.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,39.0,45.0,0.0,9.0,0.0,18.0,0.0,0.0,-,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Djene,derecho,Getafe CF,https://img.a.transfermarkt.technology/portrait/medium/221150-1669364811.jpg?lm=1,-1.0,CEN,Defensa,31.0,2.0,4000000.0,2.031.000,Togo,DOWN,"3,1",40.0,-,13.0,906.0,0.0,0.0,0.0,5.0,21.0,7.0,0.0,83.0,107.0,0.0,13.0,0.0,0.0,0.0,5.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Raillo,,RCD Mallorca,https://img.a.transfermarkt.technology/portrait/medium/278296-1447228780.jpg?lm=1,-1.0,CEN,Defensa,32.0,21.0,2500000.0,2.016.000,España,UP,"5,8",23.0,3,6.0,263.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,16.0,17.0,0.0,3.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. Milla,derecho,Getafe CF,https://img.a.transfermarkt.technology/portrait/medium/281989-1669364960.jpg?lm=1,-1.0,MC,Centrocampista,29.0,5.0,2500000.0,2.010.000,España,UP,"4,5",18.0,4,5.0,313.0,0.0,0.0,1.0,13.0,1.0,3.0,0.0,26.0,50.0,0.0,4.0,0.0,0.0,0.0,1.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
O. Trejo,derecho,Rayo Vallecano,https://img.a.transfermarkt.technology/portrait/medium/30321-1653039805.jpg?lm=1,-1.0,MCO,Centrocampista,35.0,8.0,2500000.0,1.992.000,Argentina,UP,"3,2",41.0,3,13.0,599.0,0.0,0.0,0.0,3.0,7.0,8.0,1.0,41.0,121.0,0.0,7.0,0.0,0.0,0.0,2.0,-,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. Gimenez,derecho,Cádiz CF,https://img.a.transfermarkt.technology/portrait/medium/252667-1557499262.jpg?lm=1,-1.0,CEN,Defensa,30.0,3.0,2500000.0,1.957.000,España,UP,"4,2",55.0,-,8.0,365.0,0.0,0.0,0.0,0.0,25.0,2.0,0.0,17.0,35.0,0.0,4.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Araujo,derecho,UD Las Palmas,https://img.a.transfermarkt.technology/portrait/medium/513970-1646079609.JPG?lm=1,-1.0,LD,Defensa,22.0,28.0,4000000.0,1.924.000,México,UP,"3,9",51.0,2,10.0,500.0,1.0,0.0,1.0,5.0,19.0,2.0,1.0,27.0,75.0,0.0,5.0,0.0,0.0,0.0,3.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Miquel,izquierdo,Granada CF,https://img.a.transfermarkt.technology/portrait/medium/70245-1513332415.jpg?lm=1,-1.0,CEN,Defensa,31.0,14.0,1400000.0,1.903.000,España,DOWN,"3,2",45.0,5,14.0,1215.0,0.0,1.0,1.0,0.0,55.0,4.0,2.0,89.0,121.0,0.0,33.0,0.0,0.0,0.0,3.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Guler,izquierdo,Real Madrid,https://img.a.transfermarkt.technology/portrait/medium/861410-1699472585.jpg?lm=1,-1.0,MCO,Centrocampista,18.0,24.0,15000000.0,1.899.000,Turquía,DOWN,"0,0",0.0,-,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Pedraza,izquierdo,Villarreal CF,https://img.a.transfermarkt.technology/portrait/medium/356197-1620304916.jpg?lm=1,-1.0,LI,Defensa,27.0,24.0,12000000.0,1.870.000,España,UP,"2,6",23.0,-,9.0,602.0,0.0,2.0,2.0,9.0,7.0,4.0,1.0,43.0,90.0,0.0,12.0,1.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Hernandez,izquierdo,Cádiz CF,https://img.a.transfermarkt.technology/portrait/medium/422466-1601367999.jpg?lm=1,-1.0,LI,Defensa,25.0,15.0,3000000.0,1.850.000,España,DOWN,"3,7",52.0,3,14.0,1235.0,0.0,1.0,1.0,26.0,37.0,5.0,3.0,86.0,189.0,0.0,21.0,0.0,0.0,0.0,4.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Iglesias,derecho,Real Betis,https://img.a.transfermarkt.technology/portrait/medium/278359-1686661509.jpg?lm=1,-1.0,DEL,Delantero,30.0,9.0,10000000.0,1.847.000,España,DOWN,"2,6",21.0,-,13.0,277.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,8.0,30.0,0.0,2.0,0.0,0.0,0.0,2.0,-,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
